"","","","kultgames","","versusgamecenter","","arenaporto","","gameplay","","jogonamesa","","dracotienda","","cultodacaixa","","gglounge","","diver","","juegosdelamesaredonda","","planetongames","","amazon.es","","devir"
"Must Have","0","","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Agricola EN","49.45","juegosdelamesaredonda.com","69.99","Delivery in 1 to 2 weeks time","0",,"0",,"54.5","Em stock","66.98","em 24 dias","0",,"0.0","esgotado","0",,"0",,"49.45","EN REPOSICIÓN","0",,"0",,"0",
"Agricola PT","43.6","gameplay.pt","0",,"0",,"0",,"43.6","Esgotado","48.64","17 dias","0",,"44.99","Out of stock","0",,"49.49","Esse produto já não se encontra disponível","0",,"0",,"0",,"0",
"Anno 1800","49.21","jogonamesa.pt","0",,"0",,"0",,"0",,"49.21","Esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Barrage","55.8","jogonamesa.pt","67.95","in stock","0",,"75.99","Últimos artigos em stock","69.95","Restock","55.8","17 dias","63.0","Disponible","59.9","Out of stock","57.9","In stock","62.99","Encomenda ao fornecedor","59.46","EN STOCK","63.0","Este producto ya no está disponible","0",,"0",
"Calimala","44.95","dracotienda.com","0",,"0",,"0",,"0",,"0.0","esgotado","44.95","Últimas unidades en stock","0.0","esgotado","0",,"0",,"47.95","EN REPOSICIÓN","44.96","Este producto ya no está disponible","10000.0","Not found.","0",
"The Castles of Tuscany","36.96","jogonamesa.pt","0",,"0",,"47.49","Esgotado","46.95","Última unidade em stock","36.96","em 17 dias","39.99","Disponible","39.9","Em stock","44.5","Only 2 left in stock","59.99","","40.45","EN STOCK","41.36","Producto en stock","10000.0","Not found.","0",
"Champions of Midgard","51.91","jogonamesa.pt","71.95","in stock","0",,"0",,"59.99","Esgotado","51.91","24 dias","54.95","Fuera de stock","0.0","esgotado","0",,"62.99","Encomenda ao fornecedor, entrega em 1 a 2 semanas","55.8","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
"Champions of Midgard: The Dark Mountains","19.84","jogonamesa.pt","0",,"0",,"0",,"0",,"19.84","Esgotado","24.95","Fuera de stock","0.0","esgotado","0",,"36.99","Encomenda ao fornecedor, entrega em 1 a 2 semanas","29.5","EN REPOSICIÓN","0",,"0",,"0",
"Champions of Midgard: Valhalla","23.4","jogonamesa.pt","0",,"0",,"0",,"0",,"23.4","Esgotado","29.95","Fuera de stock","0.0","esgotado","0",,"28.99","Encomenda ao fornecedor, entrega em 1 a 2 semanas","35.95","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
